Employee ID,Name,Role,Department,Monthly Salary (EGP),Source,Referral Bonus,Referred By Name
EG-EMP-1000,Tarek Reda,Frontend Dev,Engineering,43833,Direct,0,
EG-EMP-1001,Mostafa Ali,ML Engineer,Data Science,56644,Employee Referral,10000,Tarek Reda
EG-EMP-1002,Khaled Mahmoud,Data Scientist,Data Science,48157,LinkedIn,0,
EG-EMP-1003,Khaled Mansour,ML Engineer,Data Science,36854,Recruiter,0,
EG-EMP-1004,Hoda Soliman,Sales Executive,Sales/HR,35094,LinkedIn,0,
EG-EMP-1005,Youssef Khalil,HR Specialist,Sales/HR,39433,LinkedIn,0,
EG-EMP-1006,Omar Khalil,Sales Executive,Sales/HR,40658,Employee Referral,10000,Mostafa Ali
EG-EMP-1007,Youssef Hassan,Data Analyst,Data Science,58436,Employee Referral,10000,Khaled Mansour
EG-EMP-1008,Hoda Soliman,Data Scientist,Data Science,38452,Employee Referral,10000,Khaled Mansour
EG-EMP-1009,Omar Said,DevOps,Engineering,38125,Employee Referral,10000,Youssef Hassan
EG-EMP-1010,Mariam Mahmoud,Tech Lead,Engineering,83997,Employee Referral,17536,Hoda Soliman
EG-EMP-1011,Dina Farid,Data Analyst,Data Science,61567,Recruiter,0,
EG-EMP-1012,Yasmine Ali,DevOps,Engineering,39682,Employee Referral,10000,Khaled Mansour
EG-EMP-1013,Nour Khalil,Frontend Dev,Engineering,51350,LinkedIn,0,
EG-EMP-1014,Mariam Khalil,Backend Dev,Engineering,46180,Direct,0,
EG-EMP-1015,Salma Soliman,QA Engineer,Engineering,37681,Direct,0,
EG-EMP-1016,Ahmed Said,HR Specialist,Sales/HR,57567,Employee Referral,10000,Omar Khalil
EG-EMP-1017,Youssef Khalil,HR Specialist,Sales/HR,63069,LinkedIn,0,
EG-EMP-1018,Salma Ibrahim,Junior Dev,Engineering,30198,Direct,0,
EG-EMP-1019,Mostafa Hassan,Data Scientist,Data Science,52949,LinkedIn,0,
EG-EMP-1020,Mostafa Soliman,HR Specialist,Sales/HR,40547,Employee Referral,10000,Khaled Mansour
EG-EMP-1021,Yasmine Farid,Data Analyst,Data Science,60734,LinkedIn,0,
EG-EMP-1022,Hoda Khalil,Sales Executive,Sales/HR,57595,LinkedIn,0,
EG-EMP-1023,Ahmed Mansour,HR Manager,Sales/HR,79807,Employee Referral,23292,Hoda Khalil
EG-EMP-1024,Mostafa Mansour,DevOps,Engineering,62878,Employee Referral,10000,Nour Khalil
EG-EMP-1025,Mariam Mansour,HR Specialist,Sales/HR,39633,Direct,0,
EG-EMP-1026,Hoda Ibrahim,Data Analyst,Data Science,42572,LinkedIn,0,
EG-EMP-1027,Mariam Soliman,Data Analyst,Data Science,54494,Direct,0,
EG-EMP-1028,Nour Mahmoud,Account Manager,Sales/HR,85181,Direct,0,
EG-EMP-1029,Nour Farid,Sales Executive,Sales/HR,44933,Recruiter,0,
EG-EMP-1030,Nour Said,Tech Lead,Engineering,86765,Employee Referral,23733,Yasmine Ali
EG-EMP-1031,Nour Mansour,ML Engineer,Data Science,49809,Recruiter,0,
EG-EMP-1032,Kareem Mahmoud,Data Analyst,Data Science,46161,Employee Referral,10000,Mariam Soliman
EG-EMP-1033,Tarek Ali,Sales Executive,Sales/HR,53504,Employee Referral,10000,Hoda Khalil
EG-EMP-1034,Kareem Ali,HR Manager,Sales/HR,98605,Employee Referral,23906,Omar Said
EG-EMP-1035,Tarek Ibrahim,Senior Dev,Engineering,116431,Direct,0,
EG-EMP-1036,Laila Mahmoud,Data Scientist,Data Science,51584,Direct,0,
EG-EMP-1037,Dina Mahmoud,HR Manager,Sales/HR,82556,LinkedIn,0,
EG-EMP-1038,Laila Reda,Data Scientist,Data Science,63461,Employee Referral,10000,Mariam Soliman
EG-EMP-1039,Dina Khalil,Frontend Dev,Engineering,61836,Direct,0,
EG-EMP-1040,Khaled Ali,Sales Executive,Sales/HR,52232,Employee Referral,10000,Mariam Khalil
EG-EMP-1041,Nour Ali,Data Analyst,Data Science,56655,Employee Referral,10000,Kareem Mahmoud
EG-EMP-1042,Ahmed Reda,Account Manager,Sales/HR,122176,Recruiter,0,
EG-EMP-1043,Nour Reda,ML Engineer,Data Science,39573,Direct,0,
EG-EMP-1044,Laila Said,HR Manager,Sales/HR,129334,LinkedIn,0,
EG-EMP-1045,Youssef Said,Senior Dev,Engineering,106817,Direct,0,
EG-EMP-1046,Youssef Khalil,Sales Executive,Sales/HR,51155,LinkedIn,0,
EG-EMP-1047,Tarek Mansour,Data Analyst,Data Science,61949,LinkedIn,0,
EG-EMP-1048,Nour Mansour,Data Scientist,Data Science,39142,Employee Referral,10000,Omar Khalil
EG-EMP-1049,Omar Mansour,Tech Lead,Engineering,134026,Employee Referral,17253,Tarek Ali
EG-EMP-1050,Salma Farid,Data Analyst,Data Science,63967,Employee Referral,10000,Youssef Khalil
EG-EMP-1051,Salma Khalil,HR Specialist,Sales/HR,39846,LinkedIn,0,
EG-EMP-1052,Youssef Mansour,Frontend Dev,Engineering,53188,Employee Referral,10000,Tarek Mansour
EG-EMP-1053,Dina Ibrahim,Backend Dev,Engineering,58482,LinkedIn,0,
EG-EMP-1054,Tarek Reda,Senior Dev,Engineering,111322,Direct,0,
EG-EMP-1055,Mariam Reda,Frontend Dev,Engineering,37651,Direct,0,
EG-EMP-1056,Kareem Said,ML Engineer,Data Science,53381,Employee Referral,10000,Hoda Khalil
EG-EMP-1057,Yasmine Ibrahim,ML Engineer,Data Science,51479,Employee Referral,10000,Nour Khalil
EG-EMP-1058,Khaled Hassan,HR Specialist,Sales/HR,47940,Employee Referral,10000,Youssef Hassan
EG-EMP-1059,Omar Ibrahim,Junior Dev,Engineering,30734,Employee Referral,5000,Nour Mansour
